Ledger,Date,Account,D/C,Amount
AAA,45208,610000,C,348000
AAA,45208,232000,D,348000
AAA,45208,151000,C,348000
AAA,45208,250000,D,348000
AAA,45208,232000,C,348000
AAA,45204,250000,D,2385000
AAA,45204,310000,C,2385000
AAA,45193,250000,D,594000
AAA,45193,310000,C,594000
AAA,45190,250000,D,3639600
AAA,45190,310000,C,3639600
AAA,45182,250000,D,421200
AAA,45182,310000,C,421200
AAA,45197,250000,D,1339200
AAA,45197,310000,C,1339200
AAA,45200,250000,D,356400
AAA,45200,310000,C,356400
AAA,45180,250000,D,3790800
AAA,45180,310000,C,3790800
AAA,45188,250000,D,1404000
AAA,45188,310000,C,1404000
AAA,45198,250000,D,603000
AAA,45198,310000,C,603000
AAA,45182,250000,D,950400
AAA,45182,310000,C,950400
AAA,45184,250000,D,1436400
AAA,45184,310000,C,1436400
AAA,45191,250000,D,2192400
AAA,45191,310000,C,2192400
AAA,45194,250000,D,1339200
AAA,45194,310000,C,1339200
AAA,45208,152000,D,180000
AAA,45208,610000,C,180000
AAA,45208,232000,D,180000
AAA,45208,151000,C,180000
AAA,45192,250000,D,183600
AAA,45192,310000,C,183600
AAA,45194,250000,D,712800
AAA,45194,310000,C,712800
AAA,45192,250000,D,1161000
AAA,45192,310000,C,1161000
AAA,45198,250000,D,982800
AAA,45198,310000,C,982800
AAA,45188,250000,D,2178000
AAA,45188,310000,C,2178000
AAA,45197,250000,D,712800
AAA,45197,310000,C,712800
AAA,45183,250000,D,4287600
AAA,45183,310000,C,4287600
AAA,45182,250000,D,1051200
AAA,45182,310000,C,1051200
AAA,45202,250000,D,788400
AAA,45202,310000,C,788400
AAA,45186,250000,D,2184300
AAA,45186,310000,C,2184300
AAA,45202,250000,D,518400
AAA,45202,310000,C,518400
AAA,45207,250000,D,810000
AAA,45207,310000,C,810000
AAA,45180,250000,D,1090800
AAA,45180,310000,C,1090800
AAA,45193,250000,D,1305000
AAA,45193,310000,C,1305000
AAA,45184,250000,D,1101600
AAA,45184,310000,C,1101600
AAA,45202,250000,D,2181600
AAA,45202,310000,C,2181600
AAA,45195,250000,D,1566000
AAA,45195,310000,C,1566000
AAA,45201,250000,D,367200
AAA,45201,310000,C,367200
AAA,45198,250000,D,2203200
AAA,45198,310000,C,2203200
AAA,45208,152000,D,893502
AAA,45208,610000,C,893502
AAA,45208,232000,D,894000
AAA,45208,151000,C,894000
AAA,45208,250000,D,894000
AAA,45208,232000,C,894000
AAA,45208,816000,D,1470
AAA,45208,115000,C,1470
AAA,45208,816000,D,8322
AAA,45208,115000,C,8322
AAA,45208,816000,D,6966
AAA,45208,115000,C,6966
AAA,45208,816000,D,10458
AAA,45208,115000,C,10458
AAA,45208,816000,D,9144
AAA,45208,115000,C,9144
AAA,45208,816000,D,10134
AAA,45208,115000,C,10134
AAA,45208,816000,D,11256
AAA,45208,115000,C,11256
AAA,45208,816000,D,7584
AAA,45208,115000,C,7584
AAA,45208,816000,D,3828
AAA,45208,115000,C,3828
AAA,45208,816000,D,7416
AAA,45208,115000,C,7416
AAA,45208,816000,D,2814
AAA,45208,115000,C,2814
AAA,45193,110000,D,526152
AAA,45193,250000,C,526152
AAA,45208,816000,D,7890
AAA,45208,115000,C,7890
AAA,45208,811000,D,4998
AAA,45208,320000,C,4998
AAA,45239,220000,D,15216000
AAA,45239,250000,D,2517642894
AAA,45239,510000,C,1080000000
AAA,45239,520000,C,1452858894
AAA,45211,330000,D,4931382
AAA,45211,450000,D,4158324
AAA,45211,250000,C,9089706
AAA,45239,813000,D,4917522
AAA,45239,330000,C,4917522
AAA,45239,450000,D,51164340
AAA,45239,350000,C,51164340
AAA,45239,450000,C,50994360
AAA,45239,350000,D,50994360
AAA,45209,710000,D,972000
AAA,45209,320000,C,972000
AAA,45209,812000,D,6480
AAA,45209,320000,C,6480
AAA,45209,817000,D,32400
AAA,45209,320000,C,32400
AAA,45209,820000,D,10800
AAA,45209,320000,C,10800
AAA,45209,822000,D,6840
AAA,45209,320000,C,6840
AAA,45209,824000,D,9000
AAA,45209,320000,C,9000
AAA,45209,825000,D,792000
AAA,45209,320000,C,792000
AAA,45209,826000,D,14400
AAA,45209,320000,C,14400
AAA,45209,827000,D,6840
AAA,45209,320000,C,6840
AAA,45209,828000,D,6840
AAA,45209,320000,C,6840
AAA,45209,831000,D,9000
AAA,45209,320000,C,9000
AAA,45209,832000,D,6000
AAA,45209,320000,C,6000
AAA,45209,833000,D,18000
AAA,45209,320000,C,18000
AAA,45209,834000,D,3000
AAA,45209,320000,C,3000
AAA,45209,835000,D,12000
AAA,45209,320000,C,12000
AAA,45209,836000,D,6000
AAA,45209,320000,C,6000
AAA,45209,837000,D,3600
AAA,45209,320000,C,3600
AAA,45239,152000,D,2857500
AAA,45239,610000,C,2857500
AAA,45239,232000,D,3000000
AAA,45239,151000,C,3000000
AAA,45239,152000,D,120000
AAA,45239,610000,C,120000
AAA,45239,232000,D,120000
AAA,45239,151000,C,120000
AAA,45238,250000,D,120000
AAA,45238,232000,C,120000
AAA,45239,152000,D,348000
AAA,45239,610000,C,348000
AAA,45239,232000,D,348000
AAA,45239,151000,C,348000
AAA,45239,152000,D,180000
AAA,45239,610000,C,180000
AAA,45239,232000,D,180000
AAA,45239,151000,C,180000
AAA,45238,250000,D,180000
AAA,45238,232000,C,180000
AAA,45209,250000,D,4438800
AAA,45209,310000,C,4438800
AAA,45239,152000,D,893502
AAA,45239,610000,C,893502
AAA,45239,232000,D,894000
AAA,45239,151000,C,894000
AAA,45239,816000,D,1470
AAA,45239,115000,C,1470
AAA,45239,816000,D,8322
AAA,45239,115000,C,8322
AAA,45239,816000,D,6966
AAA,45239,115000,C,6966
AAA,45239,816000,D,10458
AAA,45239,115000,C,10458
AAA,45239,816000,D,9144
AAA,45239,115000,C,9144
AAA,45239,816000,D,10134
AAA,45239,115000,C,10134
AAA,45239,816000,D,11256
AAA,45239,115000,C,11256
AAA,45239,816000,D,7584
AAA,45239,115000,C,7584
AAA,45239,816000,D,3828
AAA,45239,115000,C,3828
AAA,45239,816000,D,7416
AAA,45239,115000,C,7416
AAA,45239,816000,D,2814
AAA,45239,115000,C,2814
AAA,45239,816000,D,7890
AAA,45239,115000,C,7890
AAA,45223,110000,D,133404
AAA,45223,250000,C,133404
AAA,45239,816000,D,2004
AAA,45239,115000,C,2004
AAA,45223,210000,D,60000
AAA,45223,250000,C,60000
AAA,45223,210000,D,72000
AAA,45223,250000,C,72000
AAA,45223,210000,D,360000
AAA,45223,250000,C,360000
AAA,45239,811000,D,4998
AAA,45239,320000,C,4998
AAA,45242,330000,D,4917522
AAA,45242,450000,D,4172184
AAA,45242,250000,C,9089706
AAA,45270,813000,D,4903614
AAA,45270,330000,C,4903614
AAA,45270,450000,D,51334890
AAA,45270,350000,C,51334890
AAA,45270,450000,C,51164340
AAA,45270,350000,D,51164340
AAA,45254,320000,D,792000
AAA,45254,320000,D,972000
AAA,45254,320000,D,6480
AAA,45254,320000,D,32400
AAA,45254,320000,D,10800
AAA,45254,320000,D,6840
AAA,45254,320000,D,9000
AAA,45254,320000,D,14400
AAA,45254,320000,D,6840
AAA,45254,320000,D,6840
AAA,45254,320000,D,9000
AAA,45254,320000,D,6000
AAA,45254,320000,D,18000
AAA,45254,320000,D,3000
AAA,45254,320000,D,12000
AAA,45254,320000,D,6000
AAA,45254,320000,D,3600
AAA,45254,250000,C,795600
AAA,45254,250000,C,1119600
AAA,45240,710000,D,1008000
AAA,45240,320000,C,1008000
AAA,45240,812000,D,7200
AAA,45240,320000,C,7200
AAA,45240,817000,D,36000
AAA,45240,320000,C,36000
AAA,45240,820000,D,14400
AAA,45240,320000,C,14400
AAA,45240,822000,D,7200
AAA,45240,320000,C,7200
AAA,45240,824000,D,14400
AAA,45240,320000,C,14400
AAA,45240,825000,D,864000
AAA,45240,320000,C,864000
AAA,45240,826000,D,18000
AAA,45240,320000,C,18000
AAA,45240,827000,D,7200
AAA,45240,320000,C,7200
AAA,45240,828000,D,7200
AAA,45240,320000,C,7200
AAA,45240,831000,D,10800
AAA,45240,320000,C,10800
AAA,45240,832000,D,7200
AAA,45240,320000,C,7200
AAA,45240,833000,D,21600
AAA,45240,320000,C,21600
AAA,45240,834000,D,3600
AAA,45240,320000,C,3600
AAA,45240,835000,D,14400
AAA,45240,320000,C,14400
AAA,45240,836000,D,7200
AAA,45240,320000,C,7200
AAA,45240,837000,D,4320
AAA,45240,320000,C,4320
AAA,45270,152000,D,2857500
AAA,45270,610000,C,2857500
AAA,45268,250000,D,3000000
AAA,45268,232000,C,3000000
AAA,45240,232000,D,600000
AAA,45240,151000,C,600000
AAA,45268,250000,D,120000
AAA,45268,232000,C,120000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,151000,D,222000
AAA,45240,152000,C,2664000
AAA,45240,152000,D,222000
AAA,45240,610000,C,222000
AAA,45240,232000,D,222000
AAA,45240,151000,C,222000
AAA,45268,250000,D,348000
AAA,45268,232000,C,348000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,151000,D,540000
AAA,45240,152000,C,6480000
AAA,45240,152000,D,529998
AAA,45240,610000,C,529998
AAA,45240,232000,D,540000
AAA,45240,151000,C,540000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,151000,D,552000
AAA,45240,152000,C,6072000
AAA,45240,151000,D,558000
AAA,45240,151000,D,558000
AAA,45240,151000,D,558000
AAA,45240,151000,D,558000
AAA,45240,151000,D,558000
AAA,45240,151000,D,558000
AAA,45240,152000,C,3348000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,151000,D,396000
AAA,45240,152000,C,3960000
AAA,45240,152000,D,396000
AAA,45240,610000,C,396000
AAA,45240,232000,D,396000
AAA,45240,151000,C,396000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,152000,C,8064000
AAA,45240,152000,D,673998
AAA,45240,610000,C,673998
AAA,45240,232000,D,672000
AAA,45240,151000,C,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,151000,D,672000
AAA,45240,152000,C,8064000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
AAA,45240,151000,D,678000
